baitID	intscore	rank	SIP
29540	5.0003358215672	1	0
517715	5.00044293809322	2	0
611628	5.00057794108696	3	0
354284	5.00067844843872	4	0
258860	5.00103852630828	5	0
61801	5.00147374422463	6	0
299236	5.0021909038334	7	0
234877	5.00224230379926	8	0
288808	5.00412399975656	9	0
683262	5.00415537767613	10	0
619944	5.00430703885136	11	0
156048	5.00464830995981	12	0
12576	5.00474787314839	13	0
734889	5.00503868483467	14	0
6282	5.00544004829291	15	0
51030	5.0057733911692	16	0
30710	5.00646745604896	17	0
246876	5.00647714249608	18	0
348320	5.0065459083606	19	0
688248	5.00728528401846	20	0
81882	5.00728939283285	21	0
488850	5.00732373697022	22	0
783421	5.00790441433865	23	0
430850	5.00803432937144	24	0
434880	5.00851154053456	25	0
449887	5.0086726038644	26	0
27182	5.00891864315245	27	0
327980	5.0092023955324	28	0
429680	5.00987317940822	29	0
619579	5.01072600916277	30	0
620394	5.01099555920221	31	0
737160	5.01114889768374	32	0
265952	5.01200408208882	33	0
121463	5.01241354984175	34	0
742390	5.0131633558103	35	0
379159	5.0133195500523	36	0
414721	5.01333972595343	37	0
178212	5.01345470693673	38	0
347983	5.01348239694288	39	0
53304	5.01349996050098	40	0
144924	5.01570549460021	41	0
425038	5.01592943997919	42	0
349617	5.01601077782343	43	0
157548	5.01631272344767	44	0
719512	5.01713322540113	45	0
362672	5.01725945054451	46	0
418877	5.01727920723599	47	0
342588	5.01755191697383	48	0
176981	5.01795364075343	49	0
685217	5.01811856465992	50	0
24836	5.0181411725374	51	0
440677	5.01924565631685	52	0
221390	5.01989651245289	53	0
688553	5.02000255033241	54	0
705402	5.02006393632171	55	0
503917	5.0203963344972	56	0
121314	5.02040196173264	57	0
779284	5.02075183785641	58	0
534735	5.02187702337596	59	0
157926	5.02218387630175	60	0
409622	5.02284477342455	61	0
415478	5.02286178483453	62	0
92316	5.02306322323606	63	0
118954	5.02310611849608	64	0
138668	5.02416488759353	65	0
626988	5.02433996370617	66	0
618058	5.02438227418611	67	0
263127	5.02458802428257	68	0
157685	5.02463786469132	69	0
278013	5.02593575365483	70	0
481340	5.02609187258024	71	0
273098	5.02651701798011	72	0
49191	5.02756516070061	73	0
365898	5.02800791661177	74	0
323166	5.0280429811876	75	0
476661	5.02812799449228	76	0
122666	5.02846104379792	77	0
571750	5.02875269712988	78	0
237054	5.0293210119619	79	0
148010	5.02980791175321	80	0
418409	5.03057413731276	81	0
210033	5.03140369525318	82	0
783706	5.03152135850494	83	0
301327	5.03167250131376	84	0
451303	5.03173676901662	85	0
476650	5.03175132398234	86	0
450960	5.03175215597623	87	0
270039	5.03184941024659	88	0
429225	5.031899352844	89	0
259514	5.03343179729873	90	0
279134	5.03403350356551	91	0
279565	5.03472417928592	92	0
660561	5.03730050280257	93	0
215348	5.03921344116289	94	0
584616	5.03945641127796	95	0
143787	5.03968418224477	96	0
383603	5.04001093917192	97	0
636085	5.0401130048981	98	0
630485	5.04025528604528	99	0
331958	5.04061639707523	100	0
97839	5.04089097171181	101	0
251366	5.041121141136	102	0
522411	5.04115866228403	103	0
121048	5.04177609284995	104	0
186018	5.04198424868212	105	0
270259	5.0423250544318	106	0
280714	5.04271208479058	107	0
714498	5.0445693599195	108	0
57788	5.04654443268093	109	0
607838	5.04659989293387	110	0
337123	5.04712730210643	111	0
426735	5.04846562030499	112	0
596414	5.04882662961305	113	0
337347	5.0488440666622	114	0
397294	5.04901999220305	115	0
701893	5.04932070089998	116	0
439928	5.05007888946604	117	0
331293	5.05036030801646	118	0
689821	5.05091871517446	119	0
104058	5.05112076085816	120	0
253654	5.05125203706181	121	0
636041	5.05222224046015	122	0
353576	5.05246909193564	123	0
719888	5.05249858258603	124	0
515978	5.05270106856386	125	0
85056	5.05352485666805	126	0
102282	5.05417652454114	127	0
648711	5.05445032123515	128	0
301841	5.0548111460115	129	0
490256	5.05528267161202	130	0
211788	5.05570395094647	131	0
157717	5.05692190132228	132	0
244744	5.05707823831755	133	0
651515	5.05766450568916	134	0
761382	5.05799329296041	135	0
257	5.0582154163322	136	0
475164	5.05858857429045	137	0
103312	5.05862461515831	138	0
435067	5.05942665005259	139	0
119639	5.05946428286223	140	0
425522	5.05977679013929	141	0
120927	5.06071171980804	142	0
187891	5.06085756319225	143	0
116225	5.06086353699422	144	0
493054	5.06107944814211	145	0
723651	5.06202301626867	146	0
417987	5.06211481914273	147	0
545715	5.06266608361545	148	0
327719	5.06291516032531	149	0
251448	5.06307756409062	150	0
282819	5.06362828858668	151	0
572382	5.06379648496904	152	0
668271	5.06403713954193	153	0
600239	5.06424411914231	154	0
209131	5.06440087228389	155	0
726867	5.06458349612246	156	0
446696	5.06472199592989	157	0
248581	5.06473663144438	158	0
82114	5.06524143151185	159	0
662971	5.06603702988523	160	0
598734	5.06697732293302	161	0
446911	5.06705288206691	162	0
608487	5.06762915390402	163	0
233764	5.0677294044275	164	0
632212	5.06779713749604	165	0
331294	5.0685114027756	166	0
507303	5.06943362969613	167	0
621873	5.06986438376502	168	0
10430	5.07045144888885	169	0
653879	5.07070490689399	170	0
289170	5.07079182004458	171	0
36870	5.07116481616285	172	0
411339	5.07137476422832	173	0
604206	5.07185397310315	174	0
5478	5.07280916542553	175	0
516770	5.07282204461928	176	0
332287	5.07295685972635	177	0
376431	5.07361876868449	178	0
11837	5.07371624631568	179	0
41193	5.07386234639131	180	0
232123	5.07388066719902	181	0
674800	5.07391514925977	182	0
121083	5.07401956942214	183	0
